,name,age,floors,rent,type_jia, type_yi,type_bing,Shanghai,LuWan,JiaDing,FengXian,BaoShan,XuHui,PuTuo,YangPu,SongJiang,PuDong,HongKou,jinjiao,ChangNing,MinHang,ZhaBei,QingPu,JingAn,HuangPu,hotel,hospital,mall,park1500,store,underground,POIs
110,众城大厦,22.0,25.0,4.06,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,55.0,9.0,3.0,4.0,0.0,1.0,26
111,长峰名光大厦,20.0,32.0,2.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,72.0,6.0,12.0,10.0,33.0,0.0,26
112,大来大楼,,,7.79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,92.0,3.0,6.0,5.0,34.0,0.0,26
113,尚凯商务大厦,10.0,21.0,3.55,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13.0,1.0,2.0,5.0,22.0,1.0,27
114,海德堡中心,1.0,5.0,4.06,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,22
115,东华金融大厦,6.0,34.0,1.72,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.0,0.0,0.0,0.0,7.0,1.0,24
116,和平国际商务港,6.0,15.0,4.22,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23.0,0.0,2.0,1.0,7.0,0.0,25
117,解放日报大厦（闵行）,,,4.26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,5.0,4.0,13.0,0.0,24
118,海洋石油大厦,26.0,28.0,3.55,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,79.0,18.0,1.0,7.0,25.0,1.0,27
119,江苏路老洋房,,,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,83.0,16.0,2.0,9.0,33.0,0.0,26
120,文景楼,,,3.04,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1.0,2.0,1.0,2.0,0.0,26
121,经纬国际大厦,,,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.0,0.0,1.0,4.0,31.0,2.0,26
122,长城大厦,9.0,44.0,5.78,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34.0,2.0,0.0,6.0,30.0,5.0,26
123,X2创意空间,12.0,7.0,4.06,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,52.0,0.0,4.0,4.0,22.0,1.0,26
124,国盛中心,9.0,35.0,3.85,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,6.0,0.0,23
125,平高国际广场,7.0,24.0,5.07,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,65.0,7.0,5.0,4.0,22.0,1.0,27
126,惠扬大厦,13.0,25.0,4.36,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,0.0,0.0,12.0,12.0,0.0,24
127,安利大楼,35.0,7.0,7.24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115.0,17.0,16.0,10.0,50.0,1.0,27
128,曙光大厦,18.0,26.0,4.31,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0,7.0,21.0,17.0,40.0,3.0,27
129,白金湾广场,7.0,20.0,0.03,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43.0,0.0,2.0,0.0,20.0,1.0,25
130,新利商务中心,28.0,5.0,2.23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,62.0,9.0,0.0,4.0,21.0,2.0,26
131,申华金融大厦,19.0,28.0,6.08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,141.0,5.0,18.0,11.0,53.0,1.0,27
132,彩生活时代广场,1.0,5.0,2.84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.0,2.0,2.0,2.0,9.0,0.0,26
133,中土大厦,21.0,27.0,3.38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,8.0,3.0,2.0,45.0,1.0,26
134,机场城市航站楼,,11.0,5.07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99.0,4.0,15.0,0.0,31.0,1.0,26
135,中西大厦,5.0,20.0,4.56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,63.0,10.0,5.0,3.0,26.0,2.0,27
136,上海湾鄂尔多斯大厦,11.0,22.0,6.08,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,73.0,0.0,9.0,1.0,26.0,1.0,26
137,曹杨尚城国际,10.0,15.0,3.48,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,41.0,2.0,7.0,6.0,40.0,3.0,27
138,文洋大厦,7.0,10.0,4.06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,0.0,3.0,1.0,11.0,0.0,25
139,新概念大厦,13.0,20.0,3.38,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.0,8.0,2.0,3.0,19.0,0.0,26
