,名称,地址,类型,级别,物业费,空调类型,客梯数,货梯数,车位月租金,地上车位数,网络通讯,地下车位数,物业公司,楼内配套,入驻企业,安防系统,楼层数,竣工时间,总面积,标准层面积,标准层高,地下车位数2,净高,开发商,大堂层高,是否涉外,可注册,开间面积,外墙,租金
977,新汇园,徐汇-漕河泾-钦州北路1122号,创意园区,乙级,4.5,分体空调,1,1,200,46,电信、联通、铁通、移动,82,漕河泾物业总公司,食堂,企业名称：上海卓扬科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：德国耶拿分析仪器股份公司，所属行业：计算机/互联网/通信/电子、企业名称：佛吉亚（上海）管理有限公司，所属行业：专业服务/教育/培训、企业名称：上海国电投资有限公司，所属行业：会计/金融/银行/保险、企业名称：力克系统（上海）有限公司，所属行业：计算机/互联网/通信/电子,食堂,11,,,1500,3,82,2.7,,5,True,True,100m²、200m²、800m²,涂料,3.55
978,丽都新贵,静安-南京西路-新闸路831号,综合写字楼,乙级,4.5,分体空调,4,,1200,20,电信、联通、移动、卫通,118,第一太平戴维斯物业顾问（上海）有限公司,银行、ATM、商务中心、会议室,企业名称：和瑞商务咨询有限公司，所属行业：专业服务/教育/培训、企业名称：上海公创电器有限公司，所属行业：计算机/互联网/通信/电子、企业名称：金点储运，所属行业：物流/运输、企业名称：丽泉贸易，所属行业：贸易/消费/制造/营运、企业名称：九伦国际贸易，所属行业：贸易/消费/制造/营运,银行、ATM、商务中心、会议室,32,2005年1月,51000,1700,3.5,118,2.8,上海鑫贵房地产开发有限公司,7.2,True,True,70m²、90m²、120m²、180m²,面砖,4.06
979,春秋国际大厦,长宁-中山公园-昭化路699号,写字楼,甲级,22,,,,,,,,,,,,,,,,,,,,,True,True,,,6.61
980,莱茵•虹景中心,闵行-龙柏-吴中路1439号,商业综合体,甲级,18,,,,,,,,上海美诚景虹物业服务有限公司,,,,10,2014年08月,,,,,,西红柿集团,,True,True,,,4.06
981,上海中心,浦东-陆家嘴-银城中路501号,写字楼,甲级,45,分体空调,4,4,,,移动,,,食堂、ATM、餐饮、便利店、商务中心、会议室、会展中心,,食堂、ATM、餐饮、便利店、商务中心、会议室、会展中心,118,2014年月,433,,,,,上海陆家嘴集团,,True,True,,,13.18
985,同普大厦,普陀-甘泉宜川-同普路1220号,写字楼,甲级,10,半集中式中央空调,4,2,400,38,电信、联通、移动、有线通,79,,银行、ATM、便利店,企业名称：上海荣戈机电设备有限公司，所属行业：贸易/消费/制造/营运、企业名称：杰姆士（上海）酒业贸易，所属行业：能源/原材料、企业名称：BOA上海源鸣文化传播有限公司，所属行业：广告/媒体、企业名称：摇钱树理财机构，所属行业：会计/金融/银行/保险、企业名称：上海同为建筑设计有限公司，所属行业：房地产/建筑,银行、ATM、便利店,9,2010年12月,27703,2600,3.6,79,2.6,上海金江实业有限公司,5,False,True,220m²、260m²、400m²、910m²,玻璃幕墙,3.24
988,晶森商务大厦,闵行-浦江-光华路18号,写字楼,乙级,,,,,,,,,,,,,5,,,,,,,,,True,True,,,1.83
989,歌林商务大厦,静安-大宁绿地-大宁路701号,写字楼,甲级,12,,,,,,,,,,,,20,,,,,,,,,True,True,,,4.56
990,虹口图书馆写字楼,虹口-凉城-水电路1402号、1422号,写字楼,甲级,,,,,,,,,,,,,18,,,,,,,,,True,True,,,2.76
991,松江茸北工业区,松江-松江大学城-文翔路306号,写字楼,丙级,1.5,集中式中央空调,1,1,250,50,电信、联通、长城、铁通、移动、有线通,100,,银行、ATM、餐饮、便利店、干洗店、商务中心、会议室、会展中心,,银行、ATM、餐饮、便利店、干洗店、商务中心、会议室、会展中心,3,2008年9月,36000,4550,4,100,3.6,峰华开发集团有限公司,6.5,True,True,300m²,玻璃幕墙,1.42
992,美林创意园,松江-九亭-伴亭路228号,商业综合体,丙级,6,,,,,,,,靠趣物业管理有限公司,,,,8,2016年3月,,,,,,浪力浮投资管理有限公司,,True,True,,,2.33
994,企业天地,黄浦-淮海路-湖滨路与黄陂南路交叉口,写字楼,甲级,3.8,集中式中央空调,14,2,1600,10,电信、联通、移动、有线通,200,上海瑞安房地产物业管理有限公司,银行、ATM、商务中心,企业名称：安利日用品有限公司上海分公司，所属行业：贸易/消费/制造/营运、企业名称：甲骨文软件系统有限公司上海分公司，所属行业：贸易/消费/制造/营运、企业名称：礼来国际贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：亚德诺半导体技术有限公司，所属行业：计算机/互联网/通信/电子、企业名称：美国礼来亚洲公司上海代表处，所属行业：贸易/消费/制造/营运,银行、ATM、商务中心,25,1996年1月,80000,1000,3.5,200,2.8,上海瑞安房地产有限公司,13,True,True,100m²、280m²、300m²,涂料,10.14
998,华拓大厦,嘉定-江桥-曹安公路2078号,商业综合体,甲级,11.5,集中式中央空调,6,2,260,134,电信、联通、长城、移动,317,上海欧沪房地产经营管理有限公司,银行、ATM、餐饮、便利店、商务中心、会议室、会展中心,企业名称：农业银行，所属行业：会计/金融/银行/保险,银行、ATM、餐饮、便利店、商务中心、会议室、会展中心,20,2013年10月,51367,4.5,4.5,317,4.7,上海联鼎房地产有限公司,4.5,False,True,200m²,玻璃幕墙,2.33
999,北岸长风,普陀-长风商务区-中江路106号,商业综合体,甲级,11,集中式中央空调、半集中式中央空调、分体空调,4,1,700,100,电信、联通、移动、卫通,700,上海天鸿第一太平物业管理有限公司,便利店、食堂,企业名称：IFF国际香料，所属行业：贸易/消费/制造/营运、企业名称：宝名国际集团(F栋)，所属行业：贸易/消费/制造/营运、企业名称：贝卡尔特(B栋)，所属行业：贸易/消费/制造/营运、企业名称：上鼎工程建设(K栋)，所属行业：房地产/建筑、企业名称：中信资本(E栋)，所属行业：计算机/互联网/通信/电子,便利店、食堂,19,2009年6月,290000,1500,3.2,700,3,上海天鸿置业投资有限公司,5,True,True,50m²、60m²、75m²、100m²,玻璃幕墙,3.85
1002,华狮广场,黄浦-淮海路-淮海中路688号,写字楼,甲级,,,,,,,,,,,,,5,,,,,,,,,True,True,,,4.06
1003,道•创空间,闵行-浦江-新骏环路115号3号楼,写字楼,甲级,3.5,,,,,,,,,,,,,,,,,,,,,True,True,,,1.52
1004,惠达大厦,黄浦-老西门-西藏南路748号1,综合写字楼,丙级,5,分体空调,2,1,800,50,电信、联通、长城、铁通、移动,80,众华物业,食堂、银行、便利店,企业名称：上海余多数码科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海强迅国际货运有限公司，所属行业：物流/运输、企业名称：上海春亭建筑装潢有限公司，所属行业：房地产/建筑、企业名称：上海百步汽车贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海豪进钢铁贸易有限公司，所属行业：贸易/消费/制造/营运,食堂、银行、便利店,15,1996年6月,,120,4.5,80,4.5,伟达房地产开发,5,True,True,200m²,面砖,3.45
1006,新意城,徐汇-漕河泾-莲花路1978号,写字楼,甲级,15,,,,,,,,,,,,16,2014年10月,,,,,,,,True,True,,,4.26
1007,静安河滨花园办公楼,静安-江宁路-西苏州路71号,写字楼,甲级,,,,,,,,,,,,,,,,,,,,,,True,True,,,4.06
1008,申窑艺术中心,嘉定-江桥-华江路348号,写字楼,甲级,10,,,,,,,,上海歆翱物业,,,,3,2017年06月,,,,,,上海歆翱实业有限公司,,True,True,,,2.54
1009,上海数字产业园,浦东-陆家嘴-上海市浦东新区东三里桥路1018号,写字楼,甲级,19,,,,,,,,,,,,,,,,,,,,,True,True,,,4.56
1011,临空经济园区,长宁-虹桥开发区-北翟路1188号,写字楼,甲级,24,分体空调,2,1,600,250,电信、联通、长城、铁通、移动,64,戴德梁行,银行、ATM、餐饮、便利店、食堂、商务中心,企业名称：龙士集团，所属行业：计算机/互联网/通信/电子、企业名称：园鑫实业，所属行业：贸易/消费/制造/营运、企业名称：艾达电子照明，所属行业：贸易/消费/制造/营运、企业名称：河茂贸易，所属行业：贸易/消费/制造/营运、企业名称：环美科技，所属行业：计算机/互联网/通信/电子,银行、ATM、餐饮、便利店、食堂、商务中心,12,1993年1月,33000,1200,3.8,64,2.6,虹桥国际商务花园发展有限公司,4,False,True,80-180m²,大理石,3.24
1012,久事大厦,黄浦-外滩-中山南路28号,商业综合体,甲级,29,集中式中央空调,13,2,1000,,电信、联通、移动、卫通,250,上海外滩物业有限公司,食堂、银行、ATM、餐饮、商务中心、会议室、会展中心,企业名称：德国圣夕中国有限公司上海代表处，所属行业：贸易/消费/制造/营运、企业名称：上海奥的斯电梯有限公司，所属行业：贸易/消费/制造/营运、企业名称：瑞士吉与宝有限公司上海代表处，所属行业：贸易/消费/制造/营运、企业名称：博时基金管理有限公司，所属行业：会计/金融/银行/保险、企业名称：西门子（中国）有限公司，所属行业：贸易/消费/制造/营运,食堂、银行、ATM、餐饮、商务中心、会议室、会展中心,40,2001年1月,68080,1550,3.9,250,2.6,上海久事大厦置业有限公司,6,True,True,127m²、119m²、129m²、274m²,玻璃幕墙,6.94
1013,长宁时代大厦,长宁-新华路-[长宁延安西路]番禺路390号,写字楼,甲级,0.5,,,,,,,,,,,,1,,,,,,,,,True,True,,,2.54
1015,复兴广场,黄浦-淮海路-雁荡路109号,写字楼,乙级,28,集中式中央空调,4,1,1200,30,电信、联通、移动,30,,会议室、食堂、商务中心、便利店,企业名称：百时美施贵宝投资，所属行业：会计/金融/银行/保险、企业名称：英属华信，所属行业：贸易/消费/制造/营运、企业名称：美赞臣（广州）有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海煊仁环保仪器有限公司，所属行业：贸易/消费/制造/营运、企业名称：思维管理咨询有限公司，所属行业：计算机/互联网/通信/电子,会议室、食堂、商务中心、便利店,6,1998年1月,19500,3100,3,30,2.5,上海复兴广场有限公司,4,True,True,206m²、52m²、150m²、274m²、98m²、81m²、154m²,玻璃幕墙,5.33
1016,西子国际中心,闵行-莘庄-秀文路898号,写字楼,甲级,23,集中式中央空调,6,1,,716,,,高力国际,,,,,2013年12月,106462,1900,,,,新华园地产,,False,False,,玻璃幕墙,3.55
1018,华一实业大厦,徐汇-漕河泾-莲花路1555号,写字楼,乙级,6,分体空调,3,1,350,50,电信、联通、长城、铁通、移动,200,上海华诚物业管理有限公司,ATM、便利店、食堂、商务中心,企业名称：美来和贸易公司，所属行业：贸易/消费/制造/营运、企业名称：上海康太服饰设计有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海科耐软件科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海能博士空调销售有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海真邦贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海震轩美容美发管理有限公司，所属行业：专业服务/教育/培训、企业名称：上海巴士汽车租赁服务有限公司，所属行业：专业服务/教育/培训,ATM、便利店、食堂、商务中心,25,2004年6月,40000,1600,3.6,200,2.6,上海华一实业有限公司,5,False,True,1m²、601m²、633m²、705m²、201m²、600m²,玻璃幕墙,3.24
1019,长峰中心.聚贤阁,长宁-延安西路-延安西路1030弄,综合写字楼,甲级,2.2,分体空调,1,1,400,20,电信、联通,50,长峰物业管理有限公司,银行、餐饮、便利店,企业名称：上海系迪信息科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：广州先来服饰有限公司上海办事处，所属行业：贸易/消费/制造/营运、企业名称：武汉武塑集团物资供应有限公司上海代表处，所属行业：能源/原材料、企业名称：上海瑞登家俱有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海新真医疗器械有限公司，所属行业：专业服务/教育/培训,银行、餐饮、便利店,10,2001年5月,,,2.8,50,2.6,新长宁集团,3,False,True,70m²、80平米m²,大理石,5.58
1020,国际港务大厦,虹口-北外滩-东大名路358号,写字楼,甲级,31,集中式中央空调,7,1,1500,10,电信、长城、移动、卫通,200,仲量联行,食堂、ATM、便利店、会议室,企业名称：上港集团物流有限公司，所属行业：物流/运输、企业名称：利比里亚皇家加勒比游轮公司上海代表处，所属行业：物流/运输、企业名称：上海海勃物流软件有限公司，所属行业：物流/运输、企业名称：上海海华轮船有限公司，所属行业：物流/运输、企业名称：重庆集海航运有限公司上海分公司，所属行业：物流/运输,食堂、ATM、便利店、会议室,27,2008年10月,57782,1500,4,200,2.5,上海港国际客运中心开发有限公司,5,True,True,3m²、005m²、001m²、500m²,玻璃幕墙,6.08
1021,大来大楼,黄浦-外滩-广东路51号,写字楼,甲级,37,,,,,,,,,,,,,,,,,,,,,True,True,,,7.4
1022,均瑶国际广场,徐汇-徐家汇-肇家浜路746号,写字楼,甲级,25,集中式中央空调,9,2,1000,30,电信、联通、移动,150,仲量联行,银行、ATM、餐饮、便利店,企业名称：上海均谣集团，所属行业：政府/非赢利机构/其他、企业名称：富士电机，所属行业：贸易/消费/制造/营运、企业名称：屈臣氏，所属行业：贸易/消费/制造/营运、企业名称：大华贸易公司，所属行业：贸易/消费/制造/营运、企业名称：群升国际贸易(上海)有限公司，所属行业：贸易/消费/制造/营运、企业名称：古田鞋业，所属行业：贸易/消费/制造/营运,银行、ATM、餐饮、便利店,17,2003年1月,75000,2385,3.8,150,2.6,上海均瑶实业投资有限公司,12,True,True,130m²、150m²、360m²,玻璃幕墙,4.87
1023,上海国际贸易中心,长宁-虹桥开发区-延安西路2200号,写字楼,甲级,25,,9,2,120,110,电信、联通、移动、卫通,185,,食堂、银行、ATM、餐饮、便利店、干洗店、商务中心、会议室、会展中心,企业名称：千一日本料理，所属行业：贸易/消费/制造/营运、企业名称：香港三星电子香港有限公司，所属行业：计算机/互联网/通信/电子、企业名称：西日本城市银行股份有限公司，所属行业：会计/金融/银行/保险、企业名称：东阳纺高机能制品贸易，所属行业：贸易/消费/制造/营运、企业名称：上海焱森投资发展有限公司，所属行业：贸易/消费/制造/营运,食堂、银行、ATM、餐饮、便利店、干洗店、商务中心、会议室、会展中心,37,1990年1月,90000,1440,3.7,185,2.5,上海国际贸易有限公司,6,True,True,33m²、1440m²,玻璃幕墙,5
1024,家化金融大厦,虹口-北外滩-天潼路133号,写字楼,甲级,18,集中式中央空调,4,1,600,30,电信、联通、长城、铁通、移动、卫通,80,上海家化置业有限公司,银行、ATM,企业名称：上海波乐电子科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：南华国际物流有限公司，所属行业：物流/运输、企业名称：通商货运代理有限公司，所属行业：物流/运输、企业名称：山东省烟台海运总公司上海办事处，所属行业：政府/非赢利机构/其他、企业名称：鸿博船务有限公司，所属行业：物流/运输,银行、ATM,20,1998年1月,22055,1100,3,80,2.5,家化置业有限公司,21,True,True,200m²、300m²,玻璃幕墙,3.55
1025,恒汇国际大厦,静安-火车站-天目西路580号,商业综合体,甲级,27,集中式中央空调,8,3,1159,186,电信、联通、移动、卫通,186,高力国际物业管理公司,银行,企业名称：布朗公司，所属行业：政府/非赢利机构/其他、企业名称：上海炳轩能源发展有限公司，所属行业：能源/原材料、企业名称：海英荷普曼船舶设备，所属行业：贸易/消费/制造/营运、企业名称：上海远急国际贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：西比秘斯汽车技术（上海）有限公司，所属行业：贸易/消费/制造/营运,银行,29,2010年7月,48042,1412,3.2,186,2.7,恒基兆业地产集团,10,True,True,1m²、853m²、404m²、001m²、712m²,玻璃幕墙,5.17
1026,智苑文创空间,静安-大宁绿地-闸北区共和路2802号,写字楼,甲级,12,,,,,,,,,,,,,,,,,,,,,True,True,,,3.45
1027,台尚创意园,闵行-七宝-吴宝路428号,商业综合体,甲级,12,,,,,,,,上海仲联房地产经纪有限公司,,,,4,2015年6月,,,,,,上海仲联房地产经纪有限公司,,True,True,,,3.35
1030,徐航大厦,徐汇-徐家汇-漕溪北路45号,写字楼,甲级,25,,,,,,,,,,,,,,,,,,,,,True,True,,,6.08
1031,世纪汇广场,浦东-陆家嘴-浦东新区潍坊路179号,写字楼,甲级,35,,,,,,,,,,,,,,,,,,,,,True,True,,,10.14
