,name,type,age,floors,rent,hotel,hospital,mall,park1500,store,underground,POIs,floors_hz,surface_hz,floor_height_hz
44,长城大厦,3,9.0,44.0,6.45,34.0,2.0,0.0,6.0,30.0,5.0,6,44.0,116043.0,4.0
45,国盛中心,3,9.0,35.0,4.34,0.0,0.0,1.0,0.0,6.0,0.0,3,35.0,527000.0,3.5
46,惠扬大厦,3,13.0,25.0,5.5,2.0,0.0,0.0,12.0,12.0,0.0,4,25.0,,2.7
47,彩生活时代广场,3,1.0,5.0,2.98,10.0,2.0,2.0,2.0,9.0,0.0,6,,,
48,中土大厦,3,21.0,27.0,3.6,0.0,8.0,3.0,2.0,45.0,1.0,6,27.0,27000.0,3.2
49,中西大厦,3,5.0,20.0,4.55,63.0,10.0,5.0,3.0,26.0,2.0,7,20.0,18000.0,3.6
50,新概念大厦,3,13.0,20.0,4.5,17.0,8.0,2.0,3.0,19.0,0.0,6,20.0,20500.0,3.7
51,协通大厦,3,5.0,16.0,1.69,9.0,0.0,0.0,0.0,3.0,0.0,3,16.0,18000.0,3.8
52,万科七宝国际,3,2.0,9.0,4.74,9.0,0.0,1.0,2.0,3.0,2.0,6,8.0,257207.0,
53,谷泰滨江大厦,2,15.0,26.0,3.9,7.0,5.0,0.0,2.0,6.0,0.0,5,26.0,30000.0,3.6
54,友力国际大厦,3,10.0,24.0,6.46,57.0,7.0,0.0,4.0,26.0,1.0,6,27.0,35823.0,2.7
55,张江润和国际总部园,3,12.0,6.0,4.65,1.0,0.0,0.0,1.0,1.0,0.0,4,,91454.0,
56,世纪汇广场,3,,,13.66,53.0,6.0,2.0,5.0,21.0,1.0,7,32.0,360000.0,3.5
57,歆翱智慧谷,2,1.0,6.0,1.88,6.0,2.0,1.0,6.0,8.0,1.0,7,,,
58,中联大厦,2,20.0,30.0,3.23,38.0,2.0,5.0,6.0,38.0,3.0,7,30.0,43200.0,3.2
59,会德丰国际广场,3,8.0,54.0,14.28,95.0,19.0,11.0,6.0,28.0,1.0,7,61.0,100000.0,4.2
60,虹桥晶座,3,8.0,9.0,3.9,17.0,2.0,8.0,1.0,15.0,1.0,7,9.0,16084.0,3.7
61,百丽国际广场,3,7.0,22.0,6.4,20.0,5.0,3.0,4.0,13.0,0.0,6,18.0,45751.0,3.9
62,阿里中心,3,1.0,15.0,5.93,22.0,2.0,2.0,3.0,11.0,0.0,6,9.0,141499.0,2.85
63,健康智谷,3,,,3.73,17.0,0.0,1.0,3.0,15.0,0.0,5,,25000.0,3.0
64,虹桥丽宝广场,3,2.0,8.0,6.47,0.0,0.0,3.0,0.0,5.0,0.0,3,8.0,,4.3
65,创新大楼,2,18.0,21.0,4.5,4.0,2.0,0.0,3.0,8.0,1.0,6,,33066.0,3.0
66,悦达889中心,3,9.0,32.0,7.83,55.0,4.0,8.0,3.0,23.0,3.0,7,32.0,102475.0,3.0
67,斯米克大厦,3,21.0,22.0,5.75,55.0,8.0,10.0,3.0,24.0,2.0,7,22.0,10000.0,2.6
68,世达商务中心,3,1.0,5.0,4.2,16.0,3.0,2.0,1.0,22.0,1.0,7,,,
69,龙之梦雅仕大厦,3,7.0,34.0,9.45,98.0,0.0,7.0,8.0,35.0,1.0,6,34.0,85680.0,2.7
70,融汇958创意园,3,,,7.55,13.0,2.0,6.0,10.0,18.0,0.0,6,,,
